binomial,mass,fecundity,eggvolume
Necrobia_rufipes,8.05,89.59,0.13
Coccinella_septempunctata,26.38,700,0.6
Coleomegilla_maculata,3.44,600,0.6
Hippodamia_convergens,3.44,221,0.6
Gymnetron_antirrhini,2.89,54,0.15
Gymnetron_netum,4.37,45,2.31
Hylobius_transversovittatus,37.39,200,5.86
Oxyops_vitiosa,38.42,470,0.6
Cephalodesmius_armiger,42.02,5,10.09
Copris_incertus,53.74,11,22.62
Eurysternus_mexicanus,45.51,8,3.42
Kheper_nigroaeneus,357.87,2,19.56
Ips_pini,6.47,146,0.6
Aleochara_bilineata,3.44,700,0.34
Euboriella_annulipes,20.91,52.7,1.19
Forficula_auricularia,18.14,40,2.09
Nauphoeta_cinerea,100.25,193,14.3
Pycnoscelus_surinamensis,66.88,70,17.5
Blattella_germanica,22.62,242,10.09
Didymuria_violescens,410,357,67.02
Tropidoderus_childreni,1662.94,468,150.8
Aphidoletes_aphidimyza,0.45,70,0.01
Spurgia_esulae,0.28,140,0.02
Rhagoletis_juglandis,1.91,126,0.22
Monotylota_ramburi,1.54,80,0.7
Oligotoma_nigra,1.04,220,0.7
Elasmostethus_interstinctus,11.98,200,2.05
Elasmucha_grisea,7.99,45,1.51
Anthocoris_confusus,0.91,48.8,0.13
Parastrachia_japonensis,94.45,88.6,5.71
Deraeocoris_nebulosus,1.32,240,0.3
Nezara_viridula,87.28,907,1.77
Rhinocoris_carmelita,8.92,129.6,2.37
Rhinocoris_fuscipes,22.11,340,83.78
Rhinocoris_marginatus,47.45,154.7,0.9
Rhinocoris_tristis,10.22,172.8,0.93
Pachycoris_klugii,72.93,81,8.36
Gargaphia_solani,0.65,127.8,0.04
Pristocera_rufa,1.95,21.5,0.33
Diplolepis_rosae,0.33,408,0
Periclistus_brandtii,0.04,73,0
Synergus_albipes,0.1,35,0
Xestophanes_potentillae,0.03,88,0
Anacharis_immunis,0.03,20,0.01
Callaspidia_sp,0.72,20,0
Figites_sp,0.23,90,0
Phaenoglyphis_viliosa,0.03,80,9.22e-05
Cephalcia_isshikii,63.41,51,3.67
Sceliphron_laetum,104.09,8,12.57
Calophasia_lunula,41.6,250,0.3
Hypolimnas_anomala,35.95,565,1.15
Chilo_suppresalis,9.68,85,1.51
Antheraea_yamamai,649.63,114,68.07
Samia_cynthia,169.59,400,6.28
Epiphyas_postvittana,2.27,309.59,2.68
Chrysopa_rufilabris,2.71,31,0.6
Anurogryllus_muticus,109.29,22.5,9.84
Pulex_irritans,0.52,450,0.07
Limnephilus_flavicornis,18.61,343,0.02
