Treatment,Exsertion,TubeLen
High,1.391,8.714
High,2.7266,11.6131
High,1.48,9.19880729
High,-0.1,10.84
High,1.85,8.735393275
High,1.42,10.56899244
High,-0.096,11.038
High,2.45,9.465858911
High,2.78,8.610018894
High,0.481,11.309
High,1.5421,8.8822
High,1.25,10
High,0.343,10.279
High,0.55,9.69
High,1.719,10.525
Low,-0.037927603,8.302803626
Low,0.873,10.621
Low,0.236,9.624
Low,-0.066687186,9.960730749
Low,-0.47,9.19
Low,-0.309030622,10.01695274
Low,-0.738416462,9.946958437
Low,-0.91366434,9.324441138
Low,0.243902439,12.43902439
Low,0.2882,10.4228
Low,0.0208,8.5851
Low,0.71,10.58
Low,0.348714719,9.729352433
Low,-0.842899917,9.27201527
Low,-0.09055867,9.710695939
